IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 57"	"numberRL (57, 91)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	728		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 22"	"numberRL (22, 37)"	Button 7			7	Pressed	right; Button 7	C	553		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 49"	"numberRL (49, 81)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	783		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 38"	"numberRL (38, 67)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1134		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 54"	"numberRL (54, 87)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	683		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 50"	"numberRL (50, 82)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	540		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 46"	"numberRL (46, 77)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	661		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 36"	"numberRL (36, 64)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	695		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 40"	"numberRL (40, 69)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	713		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 11"	"numberRL (11, 23)"	Button 7			7	Pressed	right; Button 7	C	583		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 60"	"numberRL (60, 94)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	605		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 63"	"numberRL (63, 98)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	580		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 18"	"numberRL (18, 32)"	Button 7			7	Pressed	right; Button 7	C	584		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 6"	"numberRL (6, 17)"	Button 7			7	Pressed	right; Button 7	C	703		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 21"	"numberRL (21, 36)"	Button 7			7	Pressed	right; Button 7	C	670		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 51"	"numberRL (51, 83)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	704		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 55"	"numberRL (55, 88)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1090		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 34"	"numberRL (34, 62)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	882		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 13"	"numberLR (13, 26)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	1155		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 24"	"numberLR (24, 39)"	Button 7			7	Pressed	left; Button 1 (left)	E	4192		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 43"	"numberLR (43, 73)"	Button 7			7	Pressed	right; Button 7	C	12921		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 15"	"numberLR (15, 28)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	568		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 31"	"numberLR (31, 48)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	558		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 55"	"numberLR (55, 88)"	Button 7			7	Pressed	right; Button 7	C	485		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 54"	"numberLR (54, 87)"	Button 7			7	Pressed	right; Button 7	C	528		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 50"	"numberLR (50, 82)"	Button 7			7	Pressed	right; Button 7	C	378		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 56"	"numberLR (56, 89)"	Button 7			7	Pressed	right; Button 7	C	357		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 62"	"numberLR (62, 97)"	Button 7			7	Pressed	right; Button 7	C	373		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 51"	"numberLR (51, 83)"	Button 7			7	Pressed	right; Button 7	C	324		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 58"	"numberLR (58, 92)"	Button 7			7	Pressed	right; Button 7	C	358		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 23"	"numberLR (23, 38)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	581		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 61"	"numberLR (61, 96)"	Button 7			7	Pressed	right; Button 7	C	409		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 2"	"numberLR (2, 12)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	359		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 6"	"numberLR (6, 17)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	359		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 11"	"numberLR (11, 23)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	454		compatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 7"	"numberLR (7, 18)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	754		incompatible
Main Group	2		comparisonTask-LR	"comparisonTaskLR, 25"	"numberLR (25, 41)"	Button 7			7	Pressed	left; Button 1 (left)	E	479		compatible
